1.3979,1.3774,1.3546,1.3219,1.2882,1.2490,1.2055,1.1608,1.1154,1.0631,1.0139,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0282,1.0700,1.1079,1.1406,1.1732,1.2011,1.2235,1.2420,1.2538,1.2610,1.2610,1.2586
1.2467,1.2280,1.2077,1.1817,1.1506,1.1154,1.0770,1.0363,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0478,1.0968,1.1386,1.1817,1.2189,1.2538,1.2857,1.3114,1.3327,1.3463,1.3519,1.3546,1.3491
1.3381,1.3193,1.2933,1.2659,1.2303,1.1924,1.1506,1.1061,1.0597,1.0123,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0046,1.0597,1.1098,1.1628,1.2099,1.2586,1.2984,1.3381,1.3716,1.4009,1.4221,1.4408,1.4503,1.4471,1.4408
1.4283,1.4099,1.3803,1.3491,1.3114,1.2708,1.2235,1.1753,1.1250,1.0718,1.0186,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0061,1.0631,1.1193,1.1774,1.2326,1.2857,1.3381,1.3832,1.4252,1.4665,1.4966,1.5244,1.5423,1.5495,1.5495,1.5423
1.5315,1.5103,1.4764,1.4408,1.3979,1.3519,1.3010,1.2490,1.1945,1.1367,1.0770,1.0202,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0597,1.1193,1.1817,1.2443,1.3036,1.3631,1.4190,1.4698,1.5173,1.5606,1.5947,1.6262,1.6425,1.6549,1.6549,1.6466
1.6303,1.6064,1.5755,1.5315,1.4864,1.4376,1.3803,1.3219,1.2635,1.2011,1.1367,1.0735,1.0123,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0445,1.1117,1.1753,1.2443,1.3114,1.3774,1.4408,1.5034,1.5606,1.6103,1.6591,1.6933,1.7289,1.7473,1.7614,1.7661,1.7567
1.7381,1.7109,1.6718,1.6262,1.5755,1.5208,1.4600,1.3979,1.3327,1.2635,1.1945,1.1269,1.0614,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0250,1.0896,1.1608,1.2303,1.3036,1.3745,1.4471,1.5173,1.5831,1.6425,1.7021,1.7520,1.7951,1.8301,1.8507,1.8665,1.8665,1.8612
1.8403,1.8099,1.7709,1.7199,1.6675,1.6064,1.5386,1.4698,1.3979,1.3246,1.2514,1.1795,1.1061,1.0379,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0648,1.1347,1.2077,1.2832,1.3631,1.4408,1.5173,1.5908,1.6633,1.7289,1.7951,1.8455,1.8934,1.9324,1.9612,1.9789,1.9789,1.9671
1.9438,1.9155,1.8718,1.8149,1.7567,1.6889,1.6143,1.5423,1.4633,1.3832,1.3062,1.2303,1.1526,1.0806,1.0061,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0298,1.1042,1.1774,1.2538,1.3354,1.4159,1.5000,1.5831,1.6633,1.7427,1.8149,1.8825,1.9438,1.9970,2.0341,2.0660,2.0791,2.0857,2.0791
2.0531,2.0153,1.9671,1.9099,1.8403,1.7709,1.6889,1.6103,1.5279,1.4440,1.3602,1.2782,1.1989,1.1193,1.0429,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0597,1.1386,1.2144,1.2984,1.3832,1.4698,1.5569,1.6466,1.7289,1.8149,1.8879,1.9612,2.0278,2.0857,2.1331,2.1612,2.1827,2.1900,2.1755
